goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    246847 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    239746 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2335661 ns/op	        65.00 redis_commands/op	     24318 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2211793 ns/op	        65.00 redis_commands/op	     24318 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2733996 ns/op	        65.00 redis_commands/op	     24316 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2487749 ns/op	        65.00 redis_commands/op	     24318 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2522062 ns/op	        65.00 redis_commands/op	     24313 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2525252 ns/op	        65.00 redis_commands/op	     24318 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2570333 ns/op	        65.00 redis_commands/op	     24316 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2571140 ns/op	        65.00 redis_commands/op	     24316 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2594072 ns/op	        65.00 redis_commands/op	     24319 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   2628244 ns/op	        65.00 redis_commands/op	     24317 redis_network_bytes/op	        34.00 redis_round_trips/op	   66512 B/op	    1049 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    257590 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    250599 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    232420 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    219780 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    217248 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    233939 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    222622 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    218421 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    244643 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	    227808 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6293834 ns/op	        65.00 redis_commands/op	   1416989 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985500 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6412913 ns/op	        65.00 redis_commands/op	   1416987 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985229 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6273999 ns/op	        65.00 redis_commands/op	   1416990 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985228 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6305410 ns/op	        65.00 redis_commands/op	   1416990 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985589 B/op	    1059 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6349878 ns/op	        65.00 redis_commands/op	   1416991 redis_network_bytes/op	        34.00 redis_round_trips/op	 3984810 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6380922 ns/op	        65.00 redis_commands/op	   1416989 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985750 B/op	    1059 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6325026 ns/op	        65.00 redis_commands/op	   1416988 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985229 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6277328 ns/op	        65.00 redis_commands/op	   1416989 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985575 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6420090 ns/op	        65.00 redis_commands/op	   1416990 redis_network_bytes/op	        34.00 redis_round_trips/op	 3985052 B/op	    1058 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	   6333527 ns/op	        65.00 redis_commands/op	   1416991 redis_network_bytes/op	        34.00 redis_round_trips/op	 3986279 B/op	    1059 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    494067 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    534408 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    491823 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    472996 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    470248 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    460131 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    482250 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    476613 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    472958 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	    486494 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8643793 ns/op	       257.0 redis_commands/op	     96979 redis_network_bytes/op	       130.0 redis_round_trips/op	  266561 B/op	    4123 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8549374 ns/op	       257.0 redis_commands/op	     96990 redis_network_bytes/op	       130.0 redis_round_trips/op	  267257 B/op	    4124 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8557219 ns/op	       257.0 redis_commands/op	     96985 redis_network_bytes/op	       130.0 redis_round_trips/op	  266910 B/op	    4124 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8654804 ns/op	       257.0 redis_commands/op	     96982 redis_network_bytes/op	       130.0 redis_round_trips/op	  266909 B/op	    4124 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   9519733 ns/op	       257.0 redis_commands/op	     96982 redis_network_bytes/op	       130.0 redis_round_trips/op	  266735 B/op	    4123 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8856028 ns/op	       257.0 redis_commands/op	     96985 redis_network_bytes/op	       130.0 redis_round_trips/op	  266908 B/op	    4124 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8630357 ns/op	       257.0 redis_commands/op	     96986 redis_network_bytes/op	       130.0 redis_round_trips/op	  266909 B/op	    4124 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8595030 ns/op	       257.0 redis_commands/op	     96978 redis_network_bytes/op	       130.0 redis_round_trips/op	  266562 B/op	    4123 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8583230 ns/op	       257.0 redis_commands/op	     96981 redis_network_bytes/op	       130.0 redis_round_trips/op	  266387 B/op	    4123 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	   8822491 ns/op	       257.0 redis_commands/op	     96989 redis_network_bytes/op	       130.0 redis_round_trips/op	  267082 B/op	    4124 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    520464 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    494863 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    514761 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    498282 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    491149 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    498138 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    504871 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    516333 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    523178 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	    537502 ns/op	       193.0 redis_commands/op	     49971 redis_network_bytes/op	         2.000 redis_round_trips/op	  106400 B/op	    1500 allocs/op
