goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7720823 ns/op	       146.0 redis_commands/op	    101310 redis_network_bytes/op	       115.0 redis_round_trips/op	  228330 B/op	    4088 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7454875 ns/op	       146.0 redis_commands/op	    101310 redis_network_bytes/op	       115.0 redis_round_trips/op	  227586 B/op	    4086 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7709198 ns/op	       146.0 redis_commands/op	    101304 redis_network_bytes/op	       115.0 redis_round_trips/op	  227236 B/op	    4086 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7716830 ns/op	       146.0 redis_commands/op	    101310 redis_network_bytes/op	       115.0 redis_round_trips/op	  227793 B/op	    4087 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7552273 ns/op	       146.0 redis_commands/op	    101316 redis_network_bytes/op	       115.0 redis_round_trips/op	  227584 B/op	    4086 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7537385 ns/op	       146.0 redis_commands/op	    101310 redis_network_bytes/op	       115.0 redis_round_trips/op	  227953 B/op	    4087 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7666029 ns/op	       146.0 redis_commands/op	    101316 redis_network_bytes/op	       115.0 redis_round_trips/op	  227794 B/op	    4087 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10721150 ns/op	        81.00 redis_commands/op	   4231344 redis_network_bytes/op	        81.00 redis_round_trips/op	 6918167 B/op	    2554 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10806705 ns/op	        81.00 redis_commands/op	   4231350 redis_network_bytes/op	        81.00 redis_round_trips/op	 6917313 B/op	    2556 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10741961 ns/op	        81.00 redis_commands/op	   4231344 redis_network_bytes/op	        81.00 redis_round_trips/op	 6918137 B/op	    2558 allocs/op
